Month,Release,Module,Epic,Story,Task,Story_Points,Priority,Value_Proposition,Dependencies
Month 5,Residential Training,Residential - Training,Certification,Cert Interface,Build cert tracking interface,8,P1,Cert management,Create model
Month 5,Residential Training,Residential - Training,Certification,Alerts,Cert expiration alerts,3,P1,Cert renewal,Create model
Month 5,Residential Training,Residential - Training,Trainer Management,Trainer Model,Create trainer data model,3,P1,Trainer mgmt,Configure database
Month 5,Residential Training,Residential - Training,Trainer Management,Trainer Views,Build list and profile views,5,P1,Trainer overview,Create model
Month 5,Residential Training,Residential - Training,Trainer Management,Performance,Trainer performance dashboard,8,P1,Trainer insights,Build views
Month 5,Residential Training,Notifications,Residential Notif,Training Notif,Training scheduled notifications,3,P0,Training alerts,Build calendar
Month 5,Residential Training,Notifications,Residential Notif,Training Notif,Training reminder notifications,3,P1,Training reminders,Build calendar
Month 6,Residential Analytics,Residential - Reporting,Report Builder,Report Engine,Design report architecture,13,P0,Custom reporting,Configure database
Month 6,Residential Analytics,Residential - Reporting,Report Builder,Parameter UI,Build parameter selection UI,8,P0,Report customization,Design architecture
Month 6,Residential Analytics,Residential - Reporting,Report Builder,Execution,Report execution engine,13,P0,Report generation,Design architecture
Month 6,Residential Analytics,Residential - Reporting,Report Builder,Visualization,Build visualization components,8,P0,Data visualization,Implement engine
Month 6,Residential Analytics,Residential - Reporting,Report Builder,Export,Report export functionality,5,P0,Report sharing,Implement engine
Month 6,Residential Analytics,Residential - Reporting,Pre-Built Reports,Sales Reports,Build TM sales report,5,P0,TM performance,Implement engine
Month 6,Residential Analytics,Residential - Reporting,Pre-Built Reports,Sales Reports,Build RM sales report,5,P0,RM performance,Implement engine
Month 6,Residential Analytics,Residential - Reporting,Pre-Built Reports,Sales Reports,Affinity group sales report,5,P0,Group insights,Implement rollup
Month 6,Residential Analytics,Residential - Reporting,Pre-Built Reports,Sales Reports,Ownership group sales report,5,P0,Ownership insights,Implement rollup
Month 6,Residential Analytics,Residential - Reporting,Pre-Built Reports,Activity Reports,Training completion report,3,P0,Training metrics,Build training reports
Month 6,Residential Analytics,Residential - Dashboards,Role Dashboards,TM Dashboard,Build TM dashboard,8,P0,TM workspace,Build reports
Month 6,Residential Analytics,Residential - Dashboards,Role Dashboards,RM Dashboard,Build RM dashboard,8,P0,RM workspace,Build reports
Month 6,Residential Analytics,Residential - Dashboards,Role Dashboards,VP Dashboard,Build VP dashboard,8,P0,Executive view,Build reports
Month 6,Residential Analytics,Residential - Dashboards,Role Dashboards,BD Dashboard,Build BD dashboard,8,P1,Lead workspace,Build lead analytics
Month 6,Residential Analytics,Integration - Acumatica,Order Sync,Order Data,Order sync Acu to CRM,13,P0,Order visibility,Build service
Month 6,Residential Analytics,Integration - Acumatica,Order Sync,Display,Order display in customer,5,P0,Order history,Implement sync
Month 6,Residential Analytics,Integration - Acumatica,Financial Sync,Financial Data,Financial sync Acu to CRM,13,P0,Financial visibility,Build service
Month 6,Residential Analytics,Integration - Acumatica,Financial Sync,Reports,Financial reports with Acu data,8,P0,Accurate reporting,Implement sync
Month 6,Residential Analytics,Integration - Acumatica,Sync Monitoring,Health Check,Integration health monitoring,5,P1,Integration health,Build service
Month 6,Residential Analytics,Integration - Acumatica,Sync Monitoring,Error Resolution,Error resolution UI,5,P1,Sync recovery,Build monitoring
Month 6,Residential Analytics,Integration - Acumatica,Sync Monitoring,Scheduling,Scheduled sync jobs,5,P0,Automated sync,Build service
